# t,event_type,mode,packet_id
1.90935,controllerreceive,1,95
1.9182,plantreceive,1,95
1.92,plantsend,1,96
1.92969,controllerreceive,1,96
1.93858,plantreceive,1,96
1.94,plantsend,1,97
1.94953,controllerreceive,1,97
1.95845,plantreceive,1,97
1.96,plantsend,1,98
1.96915,controllerreceive,1,98
1.97789,plantreceive,1,98
1.98,plantsend,1,99
1.98983,controllerreceive,1,99
1.99867,plantreceive,1,99
2.0,plantsend,1,100
2.00791,controllerreceive,1,100
2.01673,plantreceive,1,100
2.02,plantsend,1,101
2.02967,controllerreceive,1,101
2.03861,plantreceive,1,101
2.04,plantsend,1,102
2.04802,controllerreceive,1,102
2.05696,plantreceive,1,102
2.06,plantsend,1,103
2.06855,controllerreceive,1,103
2.07739,plantreceive,1,103
2.08,plantsend,1,104
2.08782,controllerreceive,1,104
2.09663,plantreceive,1,104
2.1,plantsend,1,105
2.10819,controllerreceive,1,105
2.11702,plantreceive,1,105
2.12,plantsend,1,106
2.1295,controllerreceive,1,106
2.13825,plantreceive,1,106
2.14,plantsend,1,107
2.14959,controllerreceive,1,107
2.1585,plantreceive,1,107
2.16,plantsend,1,108
2.16952,controllerreceive,1,108
2.17852,plantreceive,1,108
2.18,plantsend,1,109
2.18751,controllerreceive,1,109
2.19629,plantreceive,1,109
2.2,plantsend,1,110
2.20954,controllerreceive,1,110
2.21856,plantreceive,1,110
2.22,plantsend,1,111
2.22982,controllerreceive,1,111
2.23855,plantreceive,1,111
2.24,plantsend,1,112
2.24827,controllerreceive,1,112
2.25718,plantreceive,1,112
2.26,plantsend,1,113
2.26985,controllerreceive,1,113
2.27871,plantreceive,1,113
2.28,plantsend,1,114
2.28976,controllerreceive,1,114
2.29869,plantreceive,1,114
2.3,plantsend,1,115
2.30981,controllerreceive,1,115
2.31864,plantreceive,1,115
2.32,plantsend,1,116
2.3293,controllerreceive,1,116
2.33821,plantreceive,1,116
2.34,plantsend,1,117
2.34843,controllerreceive,1,117
2.35732,plantreceive,1,117
2.36,plantsend,1,118
2.36823,controllerreceive,1,118
2.37714,plantreceive,1,118
2.38,plantsend,1,119
2.3883,controllerreceive,1,119
2.39717,plantreceive,1,119
2.4,plantsend,1,120
2.4091,controllerreceive,1,120
2.41799,plantreceive,1,120
2.42,plantsend,1,121
2.4293,controllerreceive,1,121
2.4383,plantreceive,1,121
